Sr. No.,Party Type,Abbreviation,Party Symbol,Party Name
301,U,HAMS,Pan,Hindustani Awam Morcha (Secular)
302,U,HCHLJP,Telephone,Himachal Janta Party
303,U,HFPP,Water melon,Humanity for Peace Party
304,U,HINDSMJP,Coat,Hindustan Samaj Party
305,U,HJP,"Almirah,Cot,Diamond,Pen nib with seven rays,Whistle",Hindustan Janta Party
306,U,HJPS,Apple,Hindustan Janta Party Secular
307,U,HMR,Bucket,Hamar Raj Party
308,U,HMSP,Carrom board,Hamara Sahara Party
309,U,HNDPPD,Nagrik,Hindustan People's Party (Democratic)
310,U,HNDSWRJD,Apple,Hindvi Swarajyay Dal
311,U,HRJSP,Ganna kisan,Haryana Jansena Party
312,U,HS,Hour glass,Hindrashtra Sangh
313,U,HSP,"Apple,Auto- rickshaw,Battery Torch,Cauliflower",Hindu Samaj Party
314,U,HSS,"Flute,Gas Stove,Rubber stamp,Trumpet",Hindustan Shakti Sena
315,U,HSVP,Binoculars,Hamara Sahi Vikalp Party
316,U,HVD,Bucket,Hindustan Vikas Dal
317,U,IBP,Almirah,Indian Believers Party (IBP)
318,U,ILP(AP),"Box,Bread,Bucket,Ganna kisan",Indian Labour Party (Ambedkar Phule)
319,U,IMP,Whistle,Indian Movement Party
320,U,INDMP,Tennis racket & ball,India Manus Party
321,U,INDPJC,Apple,Indian Praja Congress
322,U,INDPPLSADH,Balloon,Indian Peoples Adhikar Party
323,U,INGRP,Apple,India Greens Party
324,U,INL,"Ganna kisan,Gas cylinder,Gas Stove,Sewing machine",Indian National League
325,U,INSAF,"Bat,Whistle",Indian National Socialistic Action Forces
326,U,INYJP,"Carrom board,Matchbox",Indian National Yuva Jana Party
327,U,IPBP,Trumpet,India Praja Bandhu Party
328,U,IPGP,Pot,Indian Peoples Green Party
329,U,ISP,"Auto- rickshaw,Laptop,Table",Insaniyat Party
330,U,IUC,Ship,Indian Unity Centre
331,U,JAC,Ganna kisan,Janata Congress
332,U,JaHP,"Diesel pump,Stethoscope",Janahitha Paksha
333,U,JAISMP,Gas cylinder,Jai Samta Party
334,U,JAKAP,Bat,Jammu and Kashmir Apni Party
335,U,JAKNPF,Batsman,Jammu and Kashmir Nationalist People's Front
336,U,JANKRPR,"Box,Hockey and ball",Janta Kranti Party (Rashtravadi)
337,U,JaRaP,Whistle,Jan Raajya Party
338,U,JaSD,Apple,Jan Shakti Dal
339,U,JASP,"Balloon,Cauliflower",Jan Sangh Party
340,U,JASWP,Pen nib with seven rays,Jai Swaraj Party
341,U,JBNP,Battery Torch,Jai Bharat National Party
342,U,JCVIVP,Gas cylinder,Jaathia Chethi Vruthula Ikya Vedika Party
343,U,JDKRP,"Computer,Electric pole",Jindabad Kranti Party
344,U,JeSM,Walking stick,Jamat-E-Seratul Mustakim
345,U,JHNDCGP,Camera,Jai Hind Congress Party
346,U,JHP,Scissors,Jai Hind Party
347,U,JHUP,T.V. Remote,Jai Hindustan Party
348,U,JIHNDNTLP,Flute,Jai Hind National Party
349,U,JJ,"Battery Torch,Green chilli",Jebamani Janata
350,U,JJSP,Pen stand,Jatiya Jana Sena Party
351,U,JKiP,Helmet,Janhit Kisan Party
352,U,JKP,"Air conditioner,Basket containing Fruits,Batsman,Cot",Jharkhand Party
353,U,JKPP,Pot,Jharkhand People's Party
354,U,JKRP,Hockey and ball,Janta Kranti Party
355,U,JMBP,"Flute,Whistle",Jai Maha Bharath Party
356,U,JMM(U),Pot,Jharkhand Mukti Morcha (Ulgulan)
357,U,JNJWDIP,"Air conditioner,Saw",Jan Janwadi Party
358,U,JNLKVKSP,Apple,Janlok Vikas Party
359,U,JnP,Glass tumbler,Janasena Party
360,U,JNSGNDWP,"Saw,Television",Janseva Gondwana Party
361,U,JNSHSK,Petrol pump,Jana Sahayaka Sakthi
362,U,JNSKJNDL,Flute,Janshakti Janta Dal
363,U,JNSKTSMTP,Ganna kisan,Janshakti Samta Party
364,U,JNSNKP,Auto- rickshaw,Janhit Sankalp Party
365,U,JNTADRBARP,Hockey and ball,Janta Darbar Party
366,U,JNTASP,Apple,Janta Shashan Party
367,U,JNTRAAWJP,Air conditioner,Jantantra Awaj Party
368,U,JNTSMTP,Ganna kisan,Janta Samta Party
369,U,JPC,Apple,Jammu & Kashmir People Conference
370,U,JPJD,Diesel pump,Jai Prakash Janata Dal
371,U,JRBP,Coat,Jaibhim Rao Bharat Party
372,U,JRJP,"Air conditioner,Bucket,Football player",Jagrook Janta Party
373,U,JRVP,Scissors,Janta Raj Vikas Party
374,U,JSDP,"Auto- rickshaw,Diesel pump,Television,Tyres",Jan Sewa Driver Party
375,U,JSEP,Letter box,Jan Shakti Ekta Party
376,U,JSKHP,Lady finger,Jana Shankhaaraavam Party
377,U,JSKP,Gas cylinder,Jan Sewak Kranti Party
378,U,JSPVR,Ship,Janta Samajwadi Party (Vivek Raj)
379,U,JSWBHVKP,Television,Jai Sewalal Bahujan Vikas Party
380,U,JUSTIP,Kettle,Justice Party
381,U,JYVDRBP,"Gas cylinder,Room cooler",Jay Vidarbha Party
382,U,KAP,Batsman,Karunaadu Party
383,U,KCVP,Auto- rickshaw,Kannada Chalavali Vatal Paksha
384,U,KEC,Auto- rickshaw,Kerala Congress
385,U,KJD,Pot,Kosal Janata Dal
386,U,KJP,Jackfruit,Karnataka Jantha Paksha
387,U,KKJHS,"Auto- rickshaw,Gas cylinder",Kranti Kari Jai Hind Sena
388,U,KKMP,Pot,Karnataka Karmikara Paksha
389,U,KMGRKSNP,Coconut farm,Kamgaar Kisan Party
390,U,KMSMP,Bucket,Kamera Samaj Party
391,U,KMSP,"Ganna kisan,Nail cutter,Tiller",Kisan Mazdoor Sangharsh Party
392,U,KNBHJSWP,Diamond,Kunbi Bahujan Sawrajya Party
393,U,KP,Ship,Kannada Paksha
394,U,KPJD,Truck,Karpoori Janta Dal
395,U,KPPR,Sewing machine,Karnataka Praja Party (RaithaParva)
396,U,KPPU,"Black board,Boat with man and sail,Ship,Walking stick",Kamatapur People’s Party (United)
397,U,KRJAP,Saw,Kranti Janshakti Party
398,U,KRS,Battery Torch,Karnataka Rashtra Samithi
399,U,KRUNDSVKRA,Coconut farm,Karunada Sevakara Party
400,U,KRUP,Chappals,Krupaa Party
401,U,KS,Bat,Kalinga Sena
402,U,KSNVSWP,Hockey and ball,Kisan Vishwa Party
403,U,KTKD,Plate containing food,Kisan Kranti Dal
404,U,LBCP,"Ring,Well",Liberation Congress Party
405,U,LCPY,"Bucket,Gas cylinder",Loktantra Congress Party
406,U,LGP,"Box,CCTV Camera",Log Party
407,U,LJD,Whistle,Loktantrik Janta Dal
408,U,LJSPty,Scissors,Lok Jan Sangharsh Party
409,U,LKHAP,Apple,Lokhit Adhikar Party
410,U,LKRJJNTP,Auto- rickshaw,Lokrajya Janata Party
411,U,LKSNP,Whistle,Lok Sena Party
412,U,LKSWRJP,"Gas cylinder,Sewing machine",Lok Swarajya Party
413,U,LLRP,Matchbox,Loktantrik Lok Rajyam Party
414,U,LOKJANP,Triangle,Loktantrik Janshakti Party
415,U,LPRSTRP,Biscuit,Lokpriya Rashtrawadi Party
416,U,LSD,Gas cylinder,Lok Sewa Dal
417,U,LSEP,Sewing machine,Lokshahi Ekta Party
418,U,LSMP,Ganna kisan,Lok Samaj Party
419,U,LSNP,Telephone,Loktantrik Samajik Nyay Party
420,U,LSWP,Whistle,Loktantrik Samajwadi Party
421,U,MADP,Auto- rickshaw,Moulik Adhikar Party
422,U,MAHMMK,"Air conditioner,Chappals",Mahathma Makkal Munnetra Kazhakam
